name,budget,co2_reduction,social_impact,duration_months,success,category,region
Sustainable Farm Network 71,23774,38,10,15,1,Sustainable Farm,Oceania
Bike Sharing Program 72,43952,24,8,14,1,Bike Sharing,Africa
Sustainable Farm Project 73,43780,46,10,15,1,Sustainable Farm,Asia
Recycling Hub Initiative 74,59092,39,8,7,1,Recycling Hub,Europe
Wind Farm Alliance 75,144184,85,5,26,1,Wind Farm,Africa
Geothermal Energy Pilot 76,576620,97,6,55,1,Geothermal Energy,Africa
Electric Bus Hub 77,102907,66,10,19,1,Electric Bus,Europe
Bike Sharing Program 78,18291,27,8,7,0,Bike Sharing,Africa
Bike Sharing Hub 79,58750,26,9,13,1,Bike Sharing,South America
LED Lighting System 80,45905,34,5,8,0,LED Lighting,Africa
Recycling Hub System 81,56789,37,10,7,1,Recycling Hub,Asia
Ocean Cleanup Network 82,474103,58,7,26,1,Ocean Cleanup,Asia
Composting Program 83,4320,9,8,4,0,Composting,Africa
Geothermal Energy System 84,233674,88,6,45,1,Geothermal Energy,South America
LED Lighting Initiative 85,14080,26,7,6,0,LED Lighting,South America
Tidal Energy Campaign 86,599429,85,2,47,1,Tidal Energy,Asia
LED Lighting Phase II 87,45272,43,5,6,1,LED Lighting,Europe
Solar Panel Program 88,55484,81,10,13,1,Solar Panel,Africa
Smart Grid Initiative 89,480034,50,5,42,0,Smart Grid,South America
LED Lighting Campaign 90,18893,34,5,3,0,LED Lighting,Asia
EV Charging Phase II 91,135485,64,6,15,1,EV Charging,Africa
LED Lighting Hub 92,26532,22,7,3,0,LED Lighting,Oceania
Mangrove Restore Pilot 93,59389,60,7,19,1,Mangrove Restore,North America
Geothermal Energy System 94,210684,94,4,39,1,Geothermal Energy,Europe
Tidal Energy Network 95,896897,76,5,58,0,Tidal Energy,Asia
Smart Grid Phase II 96,592128,72,4,48,0,Smart Grid,Europe
Solar Panel Alliance 97,50444,84,10,14,1,Solar Panel,North America
Recycling Hub Hub 98,21678,39,7,4,1,Recycling Hub,Asia
LED Lighting System 99,34285,22,6,3,0,LED Lighting,Africa
Mangrove Restore Program 100,113307,68,8,22,1,Mangrove Restore,Africa
